question,tag,length,is_question,is_tech,is_job,group,count_techs,is_domain
Where can I go to learn how to code? Is there anyone who can contact me to help me on my journey to becoming a web developer?,web developer,125,1,1,1,0,1,1
"How do I become a pro in web development and which languages should I must know to become a pro (p.s I know HTML, CSS, JavaScript)?",web developer,131,1,1,1,1,4,1
"How do I become a freelance WordPress developer, and how long does it take to become a web developer?",web developer,101,1,1,1,0,1,1
How can I become a really good web developer starting from now (at age 20) before age 25?,web developer,89,1,1,1,0,1,1
"How do I become a web developer? I have been learning from courses about HTML, CSS and a little of Javascript but how do I get a job as a web developer? How do I know if I have the talent to be one? Anything to help me get a job?",web developer,229,1,1,1,1,4,1
"How do I become a computer programmer? I’m not talking about a web developer, or an Android developer, or an iOS developer, but a true programmer.",web developer,146,1,1,1,1,2,1
How do I know if I am good enough to become a web developer freelancer?,web developer,71,1,1,1,0,1,1
How can you become a web developer? What are the stages to go through and in which order?,web developer,89,1,1,1,0,1,1
Is it good to become a web developer in the future? Does it have scope? How much salary will I get if I placed in a campus interview?,web developer,133,1,1,1,1,1,1
How can I become a web developer using Python on the back end? How do I make Python work without JavaScript and HTML? I am not using HTML and CSS.,web developer,146,1,1,1,1,5,1
"How should I use Java for web development? If I want to become a web developer, should I learn Java or JavaScript first?",web developer,120,1,1,1,0,2,1
I want to become a full stack / backend web developer. How important is it to learn Node.js?,web developer,92,1,1,1,0,1,1
"How can I become a web developer at Google? What preparation should I be doing right now? Currently, I’m pursuing a B.Tech and I am a 2-year student?",web developer,149,1,1,1,1,1,1
How do I become a good web developer? From where I should practice coding?,web developer,74,1,1,1,0,1,1
How much time is required to become a web developer for WordPress?,web developer,66,1,1,1,0,1,1
How many programming languages must be learned to become a good back-end web developer? Should one learn their frameworks?,web developer,122,1,1,1,0,1,1
How do I become a freelance web developer and an android app developer?,web developer,71,1,1,1,0,1,1
How can I become a good web developer in 2019?,web developer,46,1,1,1,0,1,1
How much time does it take to become a web developer as I now learned HTML and CSS?,web developer,83,1,1,1,0,2,1
"How do I become a web developer freelance? I already know HTML, CSS, Javascript, Jquery, React/Redux, Node, Express, and MongoDB. Am I ready? What types of websites are most requested?",web developer,184,1,1,1,1,8,1
I don't have programming knowledge. I know the basics of Python. How can I become a web developer?,web developer,98,1,1,1,0,1,1
"How do I become a web developer and programmer, and what is the best programming language that would help me in that? I learned Java. Is it enough?",web developer,147,1,1,1,1,1,1
"How can I become a web developer from the very beginning, skipping PhP to Python?",web developer,81,1,1,1,0,2,1
Where do I go to learn how to become a full stack developer for free?,web developer,69,1,1,1,0,1,1
"Is Python good for a fresher to get a job, and how do I become a web developer from Python?",web developer,91,1,1,1,0,2,1
I am a computer science graduate (age 30) and I have basic knowledge of JavaScript. How do I become a web developer?,web developer,116,1,1,1,0,2,1
I am in the first year of my professional degree. I want become a web developer. Can someone guide or tell me how to achieve this goal?,web developer,135,1,1,1,1,1,1
How do I become a good/great Web Developer from start?,web developer,54,1,1,1,0,1,1
"How long does it take a self-taught web developer to teach themselves HTML, CSS, and JavaScript before they are able to get a job?",web developer,130,1,1,1,1,4,1
How much JavaScript do I need to know in order to become a freelance web developer?,web developer,83,1,1,1,0,2,1
"Learning to Program: I have basic knowledge of HTML, CSS, jQuery, PHP, Bootstrap and JavaScript. How can I become a professional web developer? Please see question details.",web developer,172,1,1,1,1,6,1
"What do I need to learn in order to become a full stack web developer? I have covered the basics of HTML5, CSS3 and JavaScript, but those are only used for the front end development, how about servers and databases?",web developer,215,1,1,1,1,4,1
"How can one become a front-end web developer in 3 months? I wish to concentrate only on HTML, CSS, JavaScript, jQuery, AJAX and little on HTML5 and Canvas. Then I'll start looking for entry level front-end dev job.",web developer,214,1,1,1,1,5,1
How can I be a good web developer? I want to know which courses should I master to become a professional web developer.,web developer,119,1,1,1,0,1,1
How do I become a good web developer in 2017 (and 2018)? What programming languages and skills must I know?,web developer,107,1,1,1,0,1,1
"Why do people think it's so easy to become a web developer? I get a lot of requests on how to get started, etc., and frankly, it take a long time to be good enough to get decent money.",web developer,184,1,1,1,1,1,1
How good a web developer can I reasonably expect to become in a one-year full-time commitment and what should I learn?,web developer,118,1,1,1,0,1,1
"How much time do I need to become a good web developer? I bought Udemy courses (html, css, bootstrap javascript and php) but what do you think?",web developer,143,1,1,1,1,6,1
How can I become a web project manager? I am currently 28. I don't have any IT related degree or experience. I do PHP web development and I wanna become a project manager. What is the path I should follow? Appreciate if anybody can advice me.,web developer,242,1,1,1,1,1,1
How deep do I need to know about web development to become a good web application pen tester or cyber security engineer?,web developer,120,1,1,1,0,1,1
I'm broke and I don't have anything but free time. I decided to learn web and Android development. How can I become a full-stack web developer? Are there any difficulties that I should be aware of? What makes one a good web developer?,web developer,234,1,1,1,1,2,1
"How hard is it and roughly how long would it feasibly take to switch from being a web developer (mainly front end, but some backend experience) to becoming a iOS developer?",web developer,172,1,1,1,1,1,1
How do I become a good Java programmer/web developer? .what are the things should I start doing to jumpstart into web development,web developer,129,1,1,1,1,2,1
How can I be a good web developer using ASP.NET?,web developer,48,1,1,1,0,3,1
How do I begin the path of becoming a web developer? I know HTML/CSS JavaScript and enough PHP to get by. I am also learning Java in school this year. Where do I start?,web developer,168,1,1,1,1,5,1
How do I become a good Java web developer?,web developer,42,1,1,1,0,2,1
How do I become a data scientist without a Master's degree? Are there good ways to show I have the technical/communication skills needed to be a full-stack web developer?,web developer,170,1,1,1,1,1,1
What are some good books to get me up to speed with web development?,web developer,68,1,1,1,0,1,1
How do I become a good software developer considering that I am a junior web developer?,web developer,87,1,1,1,0,1,1
"How can I become a web developer and mobile app developer? I was a commerce student with multimedia as my 5th subject, and I know CSS, JavaScript and PHP.",web developer,154,1,1,1,1,4,1
How do I become a good problem solver N.B.? I'm a web developer.,web developer,64,1,1,1,0,1,1
How can you become a good web developer?,web developer,40,1,1,1,0,1,1
How can I grow to become a good web developer when I only know CMS like WordPress?,web developer,82,1,1,1,0,2,1
How do I become a successful self-taught web developer in 2018? Which languages should you learn after CSS and HTML? What are the best online tutorials for Web Development?,web developer,172,1,1,1,1,2,1
Got stuck as an entry level front end web developer. How do I jump to a higher level and finally become a superstar as a front end web developer?,web developer,145,1,1,1,1,1,1
How much time will it take to become a full-fledged web developer if I give 2 hours daily? I have a very basic knowledge of HTML and C.,web developer,135,1,1,1,1,1,1
How do I become a full stack .NET web developer?,web developer,48,1,1,1,0,1,1
I'm 14 and I'm learning front-end web development on Udacity is this a good way to learn how to become a Computer engineer?,web developer,123,1,1,1,0,1,1
"How feasible is it to become a full stack C# and Web developer (JavaScript, Html, CSS) in 1 year. What learning tips do you suggest to become a junior developer fasters, as a CS student I already know the basic syntax of Java, C#,JS, HTML and CSS?",web developer,247,1,1,1,1,5,1
"Can I become a web developer with just WordPress knowledge? If so, how much can I charge for such websites?",web developer,107,1,1,1,0,1,1
"I have done my BTech in ECE in 2012. I have a job in a school as a clerk. I like to do web designing, and I have good knowledge of HTML and CSS. I want to become a web developer. Is this a good decision for me? How can I get the best training?",web developer,243,1,1,1,1,3,1
How many programming languages should I be able to code for building a good website and to become a great web developer?,web developer,120,1,1,1,0,1,1
How do I become a Java EE Web developer?,web developer,40,1,1,1,0,1,1
How do I become a fullstack web developer having knowledge on .NET?,web developer,67,1,1,1,0,1,1
How do I become a good web developer and get good hands on experience on SEO?,web developer,77,1,1,1,0,1,1
"Can I get my first front end web developer job by learning HTML, CSS, Bootstrap, Javascript, Jquery and React? If yes, how long will it take?",web developer,141,1,1,1,1,5,1
How will learning machine learning help advance the career of an ASP.NET web developer with five years of experience who aspires to become a technical/solution architect?,web developer,170,1,1,1,1,2,1
How can I become a good freelancer in web development?,web developer,54,1,1,1,0,1,1
What if you are learning web development and you have tried to learn past HTML & CSS but you always run into a wall? Any suggestions on how to become good at web programming for people who are new to computing/web programming?,web developer,226,1,1,1,1,3,1
"How do I become a freelancer by knowing only HTML, CSS, JavaScript, PHP, and MySQL? What could I do to become a freelancer on web development?",web developer,142,1,1,1,1,7,1
"How can I become a freelance web developer in less than 3 months? I know some HTML, CSS, and JS.",web developer,96,1,1,1,0,2,1
I am currently taking a web development program and I have learned some design and UX from my classes. How would you go about becoming a UX or UI designer?,web developer,155,1,1,1,1,1,1
"I know HTML, CSS and bit of JavaScript how to become web developer and where do practice is there any official work for idea of working?",web developer,136,1,1,1,1,4,1
How long does it take to become a professional IOS developer for a person who has programming experience in web development?,web developer,124,1,1,1,0,1,1
"How can I become a front-end web developer with good basics on HTML, CSS, and JavaScript?",web developer,89,1,1,1,0,5,1
How did JavaScript become the most important programming language for web development?,web developer,86,1,1,1,0,2,1
I am a beginner in web development. I have been learning HTML and CSS. How can I become an expert web developer with these two?,web developer,127,1,1,1,0,2,1
"How do I become a freelance web developer? I have solid knowledge of the HTML, CSS, js have some experience with node, MongoDB. Should I learn react?",web developer,149,1,1,1,1,4,1
Is web development as a skill becoming obsolete with platforms like wordpress which enables anyone to set up websites without knowing how to code?,web developer,146,1,1,1,1,1,1
"How many hours per day would it require to become a fairly decent web developer using HTML and CSS if I were to have a timeline of say, six months?",web developer,147,1,1,1,1,2,1
"How do I become a better front end developer? I've been writing basic HTML and CSS for years, but I really want/need to step up my game. What's the best way to level up my skills?",web developer,179,1,1,1,1,2,1
How do I become familiar with Python/Django framework if I'm a front-end developer?,web developer,83,1,1,1,0,3,1
"As a back-end developer (mostly PHP, Zend, Magento, and Drupal), how can I become a front-end developer?",web developer,104,1,1,1,0,2,1
How long does it take to become a front-end JavaScript developer and start working?,web developer,83,1,1,1,0,2,1
I want to become a front end developer. How much JavaScript is required to learn Angular?,web developer,89,1,1,1,0,3,1
"To become a front-end developer, what technologies should I learn? How many months will it take? Is there good growth in this field?",web developer,132,1,1,1,1,1,1
How can I become a front end developer in a week? Any good sites that would be helpful so I can do a project?,web developer,109,1,1,1,0,1,1
"What is a great learning path to become a front-end developer? What are some good free resources and a curriculum? How much time should one commit daily, and how do I practise the learnt skills?",web developer,194,1,1,1,1,1,1
What're things required to become a front end developer? How will I improve my fundamentals in JavaScript or which is the best framework I have to learn & practice?,web developer,164,1,1,1,1,2,1
How important is it to learn JavaScript to become a front-end developer in 2019? How much JS should I know to get a job?,web developer,120,1,1,1,0,2,1
I have lost my job as a front end developer during covid and have got too much time. I want to learn Java but not sure how to start. How do I become a Java developer?,web developer,166,1,1,1,1,2,1
"Aiming to become a front-end developer, I know HTML, CSS, good JS and recently started working in AngularJS. How should I create a good looking UI for a website since there is a big range of choices?",web developer,199,1,1,1,1,4,1
How can I become a front end web developer if I don't have resources to go back to college or even a coding boot camp?,web developer,118,1,1,1,0,1,1
"As a beginner going freelance, how were you sure that your code was professional and manageable? I am aspiring to become a freelance front-end developer, but I am afraid my code isn't up to mark.",web developer,195,1,1,1,1,1,1
I got terminated from Amazon and I want to change my career to become a programmer. I know programming basics and front end development. How can I land there?,web developer,158,1,1,1,1,1,1
"How can I become a master in front-end development? I know Angular 7, HTML, CSS, and JavaScript.",web developer,96,1,1,1,0,5,1
"How can I prove to employers that front end developers are not weaker than back end developers, and that we can learn back end development and become good back end developers as well?",web developer,183,1,1,1,1,1,1
How much should I learn about JavaScript to become a freelance front end developer? (I'm a 12th passout and have started learning js 2 weeks ago),web developer,145,1,1,1,1,3,1
"I consider myself a good front-end developer, but a poor designer with no aesthetic skills. How can I become good at designing?",web developer,127,1,1,1,0,1,1
How do I become a good front-end (Angular/React) developer?,web developer,59,1,1,1,0,2,1
How can I become a professional front-end developer if I had a basic knowledge of HTML and CSS?,web developer,95,1,1,1,0,2,1
"How critical is it for a UI/UX designer be able to write development code (XHTML, CSS)? Will front end coding become a requirement for UI/UX designers in the future?",web developer,165,1,1,1,1,2,1
How do I become a decent javascript developer? What are the 10 fundamental steps to be able to do major front end design?,web developer,121,1,1,1,0,2,1
"How good is it to be a front-end engineer in terms of future opportunities, work load and salary? Will it somehow aid in developing skills required for software development or becoming a SDE?",web developer,191,1,1,1,1,1,1
I know HTML & CSS (intermediate level) and WordPress. I have experience in marketing and in building pages online. How long will it take to become a junior front end developer. I've just started JavaScript?,web developer,206,1,1,1,1,5,1
"How can i become a front end and back end Web developer?. I currently know HTML, CSS, done a bit of Java and Ruby on rails. How many hours do i need?",web developer,149,1,1,1,1,5,1
"How long does it take to become a front end web developer (HTML, CSS, JS, React, Angular), and how many projects should I do to seduce recruiters? I have some basics.",web developer,166,1,1,1,1,3,1
"Coding/programming is such a large field. How did you narrow down to what to focus on? For example, what made you choose Java over Python? Why did you want to be what you've become today (back-end, front-end, web developer, software developer, etc.)?",web developer,250,1,1,1,1,2,1
How do I become an above average front end web developer to land a remote job? I prefer Angular.,web developer,96,1,1,1,0,1,1
What should I learn to become a good front end developer ? And what do employers look for in candidates?,web developer,104,1,1,1,0,1,1
What is the best way to become an expert in CSS and front-end development?,web developer,74,1,1,1,0,1,1
"What kind of skills do I need to call myself a web developer? I know HTML5, CSS, and Javascript. Does this qualify me for an entry-level job as a web developer? If not, what would I be qualified to do?",web developer,201,1,1,1,1,4,1
Is it still worth to learn JavaScript and become front-end developer in 2018?,web developer,77,1,1,1,0,2,1
Do I have to learn ES6 to become a good front-end web developer?,web developer,64,1,1,1,0,1,1
"Can I become a front-end developer without designing skills? Just coding skills like HTML, CSS, jQuery, JS, and bootstrap?",web developer,122,1,1,1,0,3,1
"I want to become a good back-end web developer. What would be the best route? I am currently working as a front-end web developer, but I want to know the order of things I should learn in order to switch.",web developer,204,1,1,1,1,1,1
What are good websites for front end developer?,web developer,47,1,1,1,0,1,1
"I want to become a Front-End Web Developer, should I learn Python as a beginner programming language first, or should I jump into HTML or JavaScript first?",web developer,155,1,1,1,1,4,1
What CS topics should a self-taught front-end developer be learning to become a good fullstack developer?,web developer,105,1,1,1,0,1,1
"I'm 18 years old, I learned HTML5, CSS3, Js, JQuery, Bootstrap, SASS and I built 4 web pages using these skills, can I become a successful front end web developer?",web developer,163,1,1,1,1,3,1
Which should come next after HTML and CSS for someone wanting to become both Front-end and Back-end developer?,web developer,110,1,1,1,0,2,1
"What are the skills required to front-end developers rather than HTML, CSS, and JS?",web developer,83,1,1,1,0,2,1
Does it make sense for a front-end developer to become a Node.js back-end developer in 2018?,web developer,92,1,1,1,0,1,1
What is the best way for a successful UI designer with some basic knowledge of HTML/CSS to become a front-end developer?,web developer,120,1,1,1,0,2,1
I am currently on the journey to become a front end web developer and I am currently reading a HTML and CSS book. Do any web developers have any tips/advice for a newbie?,web developer,170,1,1,1,1,2,1
Can we become a good web developer by learning front-end and Python for back-end?,web developer,81,1,1,1,0,2,1
What's a good plan to become a web designer/front end developer?,web developer,64,1,1,1,0,1,1
What's the best path to become a front-end web developer without PHP?,web developer,69,1,1,1,0,1,1
Will WebAssembly save front-end development from the mess it has become?,web developer,72,1,1,1,0,1,1
I am 50 and have decided to change careers and become a front-end developer. Is this a good idea and where should I start?,web developer,122,1,1,1,0,1,1
What are the top front end development skills worth learning in 2020 to become a good front end developer?,web developer,106,1,1,1,0,1,1
What are the top resources to learn advanced CSS and JavaScript and become an expert front end developer?,web developer,105,1,1,1,0,3,1
What skills and technologies does one have to work on to become a really good front-end developer?,web developer,98,1,1,1,0,1,1
"As a first time programmer, should I learn Java, C, or Python first if my end goal is to become a front end developer and be able to use the MEAN stack?",web developer,152,1,1,1,1,3,1
Is Java or C++ needed to know to be front end developer?,web developer,56,1,1,1,0,2,1
"If I study and practice HTML, CSS, and JS for 4 hours a day, could I become a junior front end web developer in 4 months?",web developer,121,1,1,1,0,2,1
Is it too late to become a front end developer? I'm 24and I know more than the basics of HTML and CSS. Now I’m learning JS.,web developer,123,1,1,1,0,2,1
"What is the best way to become a badass front-end developer and master technologies like JavaScript, Ext JS, etc.?",web developer,114,1,1,1,0,2,1
"Where can I find inspiration to keep training to become a front-end developer (CSS, HTML, JS, etc.)?",web developer,100,1,1,1,0,2,1
"Is Bootstrap 4, HTML 5, and CSS3 enough to become a professional front-end developer?",web developer,85,1,1,1,0,2,1
Which back-end language should I choose? I am a front-end developer and I want to become a full stack developer. I am student and want to do some freelancing projects. I personally want to go with Django.,web developer,204,1,1,1,1,2,1
I'm trying to become a front end developer and am feeling like this goal may be out of reach. What does an employer look for in a self-taught developer & what kinds of companies actually hire self-taught developers?,web developer,215,1,1,1,1,1,1
"As a front-end developer with 6 years of experience (including 1.5 years of Node.js experience), which backend programming language should I learn to become a full-stack: Java, Go, Python, or Rust?",web developer,197,1,1,1,1,5,1
What should I learn after HTML&CSS to become a good Front-End developer?,web developer,72,1,1,1,0,3,1
Can I become a front end developer and learn to use WordPress in 1 year?,web developer,72,1,1,1,0,1,1
Do I need to know math to become a good front end web developer?,web developer,64,1,1,1,0,1,1
I want to become front-end developer and I have a knowledge of HTML and CSS. Is it enough for me to land a good job?,web developer,116,1,1,1,0,3,1
"If I have a good base of HTML/CSS and want to be an entrepreneur, should I invest 2 months to become great at front-end or become an entry-level full stack developer?",web developer,166,1,1,1,1,3,1
I want to become a front end developer but my school is teaching Java. Should I stop learning JavaScript and focus on Java or learn both?,web developer,137,1,1,1,1,2,1
"What else, besides learning JavaScript, can I do to become a capable front end developer? I’ve got good soft skills.",web developer,116,1,1,1,0,3,1
What are the most important tools I must be good at to become a professional front-end developer?,web developer,97,1,1,1,0,1,1
"Can I become a front-end developer with HTML, CSS, and jQuery?",web developer,62,1,1,1,0,3,1
"If I want to become a web developer right now, would I focus on front end languages, like HTML5/Javascript etc. or should I focus on Ruby, Python, PHP, etc?",web developer,156,1,1,1,1,6,1
"What do I need to learn to become an Android developer (front end, back end)?",web developer,77,1,1,1,0,1,1
Do you think front-end developing is a good career? What should I do to become a successful developer while learning Basic? What shouldn't I do?,web developer,144,1,1,1,1,1,1
"As a new developer, which way is easier and has a better future, becoming a game developer with Unity or a front-end developer with React.js?",web developer,141,1,1,1,1,1,1
Is it necessary to be at ease when solving complex algorithms to become a successful front-end developer?,web developer,105,1,1,1,0,1,1
"I'm wanting to learn to become a front end developer. What do you recommend I learn after, JavaScript, html, and css?",web developer,117,1,1,1,0,4,1
"What do I need to know precisely to become a front-end developer? Which languages I have to learn first? The basic route I know are HTML, CSS, JS, but what's next?",web developer,163,1,1,1,1,2,1
"Currently learning C#, what other languages should I learn in order to become a front-end developer on Visual Studios?",web developer,118,1,1,1,0,2,1
What is the fastest method for becoming a front end web developer of average skill level starting from bare-bones novice skill in HTML/CSS/JS?,web developer,142,1,1,1,1,2,1
Can you become a front-end developer with extremely good knowledge about JS but not that good at CSS?,web developer,101,1,1,1,0,2,1
What is a good book to read to help me become a mid-level front-end developer?,web developer,78,1,1,1,0,1,1
"What more do I need to learn to become a front-end developer? I know the basics, HTML, CSS, and JavaScript.",web developer,107,1,1,1,0,4,1
"Can a front-end developer become a back-end developer? Because a front-end developer must have knowledge in JavaScript because as of now, you can use JavaScript as back-end like Node.js.",web developer,186,1,1,1,1,3,1
Is learning React.js necessary for becoming a front-end developer?,web developer,66,1,1,1,0,1,1
I'm a front end developer with 2+ years experience. Should I learn Java to become full stack developer or which backend technology will boost my career as full stack developer?,web developer,176,1,1,1,1,1,1
"Can I become a back-end Python and Ruby on Rails developer without learning front-end? I know basic HTML5 and CSS3, but I don’t like front-end and loves to code.",web developer,161,1,1,1,1,5,1
What is a good checklist for becoming a self-taught front-end developer?,web developer,72,1,1,1,0,1,1
"In the CS degree, you are taught Java and C++. Is it better to become a self-taught front-end developer before you're actually taught programming?",web developer,146,1,1,1,1,2,1
I have been self-studying Front-end Development. Learned a lot including jQuery & React. What is the next step if I want to become employable?,web developer,142,1,1,1,1,1,1
What do I need to learn to become a good PHP Developer? I know basics of PHP and OOP and I am currently working as a Front-End developer.,web developer,137,1,1,1,1,2,1
"I am a front-end developer and I want to become a full stack developer, so is MeteorJS a good choice to start with, for Full Stack development?",web developer,143,1,1,1,1,1,1
What are the essential traits and characteristics required to become a good front-end developer?,web developer,96,1,1,1,0,1,1
What exactly are LESS and Sass in CSS and do I need to know them to become a front-end developer?,web developer,97,1,1,1,0,1,1
What programming languages should one know to become a front-end Android developer?,web developer,83,1,1,1,0,1,1
"With solid back end programming skills plus Java/J2EE and middleware experience, what sorts of skills should be focused on for the front end to become a full stack developer?",web developer,174,1,1,1,1,1,1
"I want to become a full stack developer. Where should I start, front end Java script or back end Java and PHP?",web developer,110,1,1,1,0,2,1
"Should anyone learn CSS, JavaScript, HTML, or follow some special practices to become a front-end developer?",web developer,108,1,1,1,0,4,1
"CSS for me is boring, and professionally for me it is my weakest point. What can I do to learn to become a better front end developer?",web developer,134,1,1,1,1,1,1
"Could I become a web developer and get a job with jQuery, PHP, HTML (bootstrap), CSS (SCSS), some basic front end JavaScript (basic Vue), Laravel, and MySQL?",web developer,157,1,1,1,1,9,1
What are the front end development books to go through for a novice to become an expert in order?,web developer,97,1,1,1,0,1,1
Can front end developer become good architect for enterprise applications?,web developer,74,1,1,1,0,1,1
"What should I choose to become a good developer, front-end or back-end web developer, Android developer, or Java developer?",web developer,123,1,1,1,0,3,1
Is becoming a front end developer a good choice in India?,web developer,57,1,1,1,0,1,1
"As a beginner level back-end developer, (knows PHP & MySQL) what should be my learning flow for front-end technologies (knows basic HTML and CSS) becoming a full stack developer?",web developer,178,1,1,1,1,5,1
Is a bachelors degree in information systems good if you want to become a successful front-end developer?,web developer,105,1,1,1,0,1,1
I feel stagnant after 9 years of software tester experience. I created a 6month full-time learning period for myself. Is it a good move to become a front-end developer at this point in my career?,web developer,195,1,1,1,1,1,1
Should I learn Bootstrap first or JavaScript? I want to become a front-end developer and designer.,web developer,98,1,1,1,0,2,1
"What up and coming trends/technologies related to HTML, CSS and JS should a front end web developer become familiar with and keep an eye on?",web developer,140,1,1,1,1,2,1
What are the skills required to become a full-stack developer with iOS being the front-end?,web developer,91,1,1,1,0,1,1
I'm quite decent with C# and MySQL. I want to become a full stack developer. Would it be difficult to learn front end technologies because there are quite a lot of them?,web developer,169,1,1,1,1,3,1
Is it a good idea to start with a front-end development internship if I want to become a UX/UI designer eventually?,web developer,115,1,1,1,0,1,1
What is the best combination of markup languages I learn to become a good web developer for both back-end and front-end?,web developer,120,1,1,1,0,1,1
Can I become a front-end developer without a degree? Will I have a chance to work at big companies like Google in the future?,web developer,125,1,1,1,0,1,1
Does the advent of web assembly mean that C++ programmers will soon become as valuable (if not more) than Javascript developers in front-end/back-end web roles?,web developer,160,1,1,1,1,4,1
Is becoming a front end developer in the Indian software industry a wise choice (specializing in JavaScript)?,web developer,109,1,1,1,0,2,1
Is coding bootcamp a good decision to become a front-end developer?,web developer,67,1,1,1,0,1,1
What should be the next steps? I want to be a front-end web designer. I already completed HTML and CSS and did 5+ complete projects with Bootstrap. My final destination is to become a JavaScript developer.,web developer,205,1,1,1,1,4,1
"Is HTML, CSS, and JavaScript enough to become a front-end developer, or do I need something else to learn?",web developer,106,1,1,1,0,4,1
It is necessary to master in JavaScript to become a front-end web developer or is basic knowledge enough?,web developer,105,1,1,1,0,2,1
"Which is a better option in India, becoming a front-end developer or an Android app developer?",web developer,94,1,1,1,0,1,1
Would learning Python with zero tech experience slow down my path for becoming a front end web developer/designer?,web developer,114,1,1,1,0,1,1
I want to become a front end developer. What is the best path I must take to reach the goal?,web developer,92,1,1,1,0,1,1
I'm 28yo and I have a bachelor degree in economics. But I want to become a front end web developer. Is it worth it to take a student loan to go back to school to change my specialization?,web developer,187,1,1,1,1,1,1
"What is the best way to reset my career? I don't know which way I should go. I am thinking about UX design, a front-end web developer or a Python developer. These skills I hope that I will learn on Udemy. I want to become a freelancer in the future.",web developer,249,1,1,1,1,2,1
What do you need to know to become a front-end developer on an Android app in 2020?,web developer,83,1,1,1,0,1,1
Will Blazor and C# become the main technology used to develop front-end applications?,web developer,85,1,1,1,0,1,1
"Will my iOS development skills come in handy when I become a front end developer? I have experience with both fields and I want to become a front developer full time, but I don’t want to let go of my Swift skills either.",web developer,220,1,1,1,1,3,1
I want to become a front end developer (HTML and CSS knowledge). Which institutes or colleges in Mumbai provide courses for FED?,web developer,128,1,1,1,0,2,1
Could Rust or Julia become the future of front end development with WebAssembly?,web developer,80,1,1,1,0,3,1
Is W3School enough to become a good front-end developer? I want to work as a freelancer because I’m a freshman.,web developer,111,1,1,1,0,1,1
Is it a good idea to becoming a full-stack developer in Web/Android/iOS platforms or it's better to choose only one? Or even choosing one between front-end or back-end?,web developer,168,1,1,1,1,3,1
